휴양림명,시도명,휴양림구분,휴양림면적,수용인원수,입장료,숙박가능여부,주요시설명,소재지도로명주소,관리기관명,휴양림전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
태학산자연휴양림,충청남도,공유림,1055598,1000,없음,N,숲속의집+잔디광장+숲속공연장 등,충청남도 천안시 동남구 풍세면 휴양림길 127,충청남도 천안시청,041-529-5108,http://www.cfmc.or.kr/_taehaksan/,36.72734819,127.0903273,2022.6.23,4490000,충청남도 천안시
비슬산자연휴양림,대구광역시,공유림,1000000,285,없음,Y,숲속의집+통나무집+야영장+반딧불이전기차등,대구광역시 달성군 유가읍 일연선사길 99,대구광역시 달성군시설관리공단,053-659-4400,http://bisulsan.dssiseol.or.kr/bisulsan/html/main.html,35.69001083,128.5129017,2022.6.10,3480000,대구광역시 달성군
화원자연휴양림,대구광역시,공유림,720000,115,없음,Y,숲속의집+산림문화휴양관+산림욕장+전망데크등,대구광역시 달성군 화원읍 화원휴양림길 126,대구광역시 달성군시설관리공단,053-659-4455,http://hwawon.dssiseol.or.kr/hwawon/html/main.html,35.77179173,128.5367385,2022.6.10,3480000,대구광역시 달성군
옥화자연휴양림,충청북도,공유림,1360000,373,어른(개인 1000원+단체 500원)+청소년(개인 500원+단체 300원)+어린이(개인 300원+단체 200원)+군인(개인 500원+단체 300원)+지역주민(개인 500원+단체 300원),Y,숲속의집+산림휴양관+국민여가오토캠핑장+물놀이장 등,충청북도 청주시 상당구 미원면 운암옥화길 140,청주시푸른도시사업본부,043-270-7384,www.foresttrip.go.kr/indvz,36.59895012,127.6943716,2022.6.15,5710000,충청북도 청주시
횡성자연휴양림,강원도,사유림,498263,300,숙박시설 이용객만 입장 가능(별도입장료 : 없음),Y,"숲속의집, 산림문화휴양관",강원도 횡성군 갑천면 정포로 430번길 113,사유휴양림(대표 : 이호준),033-343-3392,http://www.hsrf.co.kr,37.53904383,128.1118525,2022.6.22,4260000,강원도 횡성군
주천강자연휴양림,강원도,사유림,2296100,400,숙박시설 이용객만 입장 가능(별도입장료 : 없음),Y,"숲속마을, 산골마을, 강변마을, 숲속학교, 황토별장",강원도 횡성군 둔내면 강변로 영랑6길 115,사유휴양림(대표 : 김문기),033-345-7575,http://jucheon.com/,37.4606019,128.2034233,2022.6.22,4260000,강원도 횡성군
숲체원,강원도,국유림,159710,300,별도 입장료 없음,Y,"탐방로, 숙박동, 강의실",강원도 횡성군 둔내면 청태산로 777,산림청,033-340-6300,https://hoengseong.fowi.or.kr/,37.53722046,128.2866886,2022.6.22,4260000,강원도 횡성군
청태산휴양림,강원도,국유림,159520,1500,일반 : 1000원+청소년 : 600원+어린이 : 300원,Y,"제1산림문화휴양관, 제2산림문화휴양관, 숲속의집, 숲속수련장(중형, 소형), 대형숲속수영장(회의실), 야영장, 인도네시아 전통 전시관, 숲생태체험실, BIY목공교실",강원도 횡성군 둔내면 청태산로 610,산림청,033-343-9707,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0106,37.52907993,128.2968658,2022.6.22,4260000,강원도 횡성군
흥부골자연휴양림,전라북도,공유림,1004157,60,일반2000원+단체1500원,Y,숲속의집+야영장,전라북도 남원시 인월면 구인원길 125,전라북도 남원시청,063-636-4032,www.foresttrip.go.kr,35.450932,127.590258,2022.12.5,4700000,전라북도 남원시
남원자연휴양림,전라북도,사유림,314951,100,일반1000원+시설이용객(야영장ㆍ단체동 등) 입장료 면제,Y,야영장,전라북도 남원시 보산로 228,전라북도 남원시청,063-633-5333,www.foresttrip.go.kr,35.458117,127.415508,2022.12.5,4700000,전라북도 남원시
수도산 자연휴양림,경상북도,공유림,590445,206,0,Y,숲속의집+힐하우스+숲속휴양관+숲속수련관,경상북도 김천시 대덕면 증산로 326-71,경상북도 김천시청,054-435-5128,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030030,35.8918024,127.9838463,2022.11.30,5060000,경상북도 김천시
구재봉자연휴양림,경상남도,공유림,1140,202,일반1000원+단체800원+장애인무료청소년600원+단체500원+장애인무료어린이300원+단체200원+장애인무료,Y,휴양관+숲속의집+트리하우스,경상남도 하동군 적량면 중서길 60-81,경상남도 하동군청,070-8855-8011,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030072,35.12895794,127.7440937,2022.11.30,5440000,경상남도 하동군
편백자연휴양림,경상남도,공유림,503,60,일반1000원+단체800원+장애인무료청소년600원+단체500원+장애인무료어린이300원+단체200원+장애인무료,Y,숲속의집,경상남도 하동군 옥종면 돌고지로 1088-51,경상남도 하동군청,070-8994-0717,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030103,35.1858764,127.8484386,2022.11.30,5440000,경상남도 하동군
만수산자연휴양림,충청남도,공유림,1300000,150,일반1200+청소년900+군인900+어린이600,Y,숲속의집,충청남도 부여군 외산면 휴양로 107,부여군시설관리공단,041-832-6561,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030007,36.33854208,126.7119325,2022.11.16,4570000,충청남도 부여군
송이밸리자연휴양림,강원도,공유림,43.66,100,없음,Y,송이밸리자연휴양림,강원도 양양군 양양읍 고노동길 98-50,강원도 양양군청,033-670-2644,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030049,38.05400667,128.6214924,2022.12.1,4350000,강원도 양양군
양을산산림욕장,전라남도,공유림,150000,,무료,N,유아숲체험원+화장실+생태학습장+실내교육장,전라남도 목포시 상동 산34-3,전라남도 목포시청,061-270-8178,,34.8213604,126.4075568,2022.11.29,4800000,전라남도 목포시
